location,report_date,season,season_week,total_mosquito,culex_annulirostris,aedes_vigilax,mos_sindbis,mos_ross_river,mos_kunjin,mos_edge_hill,mos_barmah_forest,mos_stratford,mos_kokobera,mos_unknown,mos_murray_valley_encephalitis,mos_japanese_enc,sc_num_tested,sc_num_pos,sc_murray_valley_encephalitis,sc_kunjin,sc_japanese_encephalitis,rain_cumulative,temperature_max_avg,temperature_max,temperature_min_avg,temperature_min,location_mosquito,location_chicken
Albury,2020-02-15,2019/2020,33,541,143,816,0,1,0,1,1,0,1,1,1,0,1,1,1,0,1,19.99,31.1,33.8,19.8,17.4,1,
Albury,2020-02-22,2019/2020,34,582,145,803,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,7.97,30.9,34,16.5,9.8,1,
Albury,2020-02-29,2019/2020,35,542,151,794,1,0,0,1,1,1,0,0,1,0,1,1,0,0,0,0.29,29.7,33.3,15.5,7.8,1,
Albury,2020-03-07,2019/2020,36,540,144,816,0,1,0,1,1,1,1,0,0,1,1,0,0,1,0,100.92,26.5,33,14.7,11.1,1,
Albury,2020-03-14,2019/2020,37,535,152,802,0,0,0,0,1,1,0,0,0,1,1,1,0,1,0,3.98,27.1,28.7,14.3,13.8,1,
Albury,2020-03-21,2019/2020,38,560,157,814,1,1,0,0,1,0,0,1,1,1,0,1,1,1,1,2.68,26,31.1,12.9,9.3,1,
Albury,2020-03-28,2019/2020,39,538,158,800,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0.15,25,26.2,11.4,9.9,1,
Albury,2020-04-04,2019/2020,40,569,152,768,0,1,0,1,0,1,1,1,0,1,0,0,1,0,1,45.44,24.3,26.4,12.3,9.6,1,
Albury,2020-04-11,2019/2020,41,518,165,813,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,16.21,19.7,23.5,10.8,6.6,1,
Albury,2020-04-18,2019/2020,42,529,131,816,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,2.67,20.7,25.4,9.2,4.7,1,
Albury,2020-04-25,2019/2020,43,587,157,760,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,3.03,19.8,21.2,7,4.2,1,
Albury,2020-05-02,2019/2020,44,571,154,763,1,1,1,0,1,0,0,0,1,1,0,1,0,1,0,77.94,17.2,21.7,7.9,4,1,
Albury,2020-05-09,2019/2020,45,554,160,775,1,0,1,1,1,1,1,0,1,1,0,0,1,0,1,14.53,17.4,21.4,5.8,2.9,1,
Albury,2020-05-16,2019/2020,46,555,155,740,1,0,1,0,0,1,0,1,0,1,1,1,0,0,1,5.38,15.3,17.2,3.8,2.4,1,
Ballina,2019-11-30,2019/2020,22,553,140,758,0,1,0,0,1,0,0,1,0,1,1,0,0,1,1,0.02,29.1,32.5,18.8,16.3,1,
Ballina,2019-12-07,2019/2020,23,595,154,801,0,1,0,1,1,0,1,0,1,1,1,0,1,0,1,43.19,31.4,35.4,17.2,13.3,1,
Ballina,2019-12-14,2019/2020,24,517,152,788,1,0,1,1,0,1,0,1,1,0,0,1,1,0,0,6.06,28.7,32,20.1,18.2,1,
Ballina,2019-12-21,2019/2020,25,584,142,801,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,4.33,29.7,36.3,18.1,13.5,1,
Ballina,2019-12-28,2019/2020,26,531,163,785,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,39.62,28.8,30.8,20.2,17.8,1,
Ballina,2020-01-04,2019/2020,27,569,160,764,0,1,0,1,1,0,1,0,1,1,1,1,0,1,0,0.11,29.8,30.8,18,16.1,1,
Ballina,2020-01-11,2019/2020,28,589,160,793,0,1,0,1,0,1,1,0,0,0,0,1,1,1,0,0.38,31.3,32.6,19.2,17.9,1,
Ballina,2020-01-18,2019/2020,29,562,162,797,0,0,0,1,0,1,1,1,0,0,0,1,1,1,1,32.37,27.7,32.2,20.5,19.3,1,
Ballina,2020-01-25,2019/2020,30,574,175,795,1,1,1,0,0,0,1,0,1,1,0,0,0,1,0,135.79,31,33.1,22,20.1,1,
Ballina,2020-02-01,2019/2020,31,557,157,774,0,0,0,0,1,1,1,0,0,0,1,1,1,1,0,14.25,30.2,31.7,21.3,19.7,1,
Ballina,2020-02-08,2019/2020,32,562,163,761,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,220.65,27.9,34.1,20.2,18.5,1,
Ballina,2020-02-15,2019/2020,33,536,139,813,0,0,1,1,1,1,0,0,1,1,1,1,1,0,1,256.25,26.8,28.7,21.4,20.8,1,
Ballina,2020-02-22,2019/2020,34,535,145,770,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,17.96,30.6,34.5,22.3,20.6,1,
Ballina,2020-02-29,2019/2020,35,552,148,812,1,1,0,1,0,1,1,0,1,0,0,1,1,1,1,86.4,27.3,30.3,20.3,19.5,1,
Ballina,2020-03-07,2019/2020,36,546,139,775,1,0,1,0,1,1,1,1,1,0,1,1,0,1,1,12.07,29.7,32.8,21.3,19.5,1,
Ballina,2020-03-14,2019/2020,37,544,148,779,0,0,1,1,0,1,0,1,0,0,0,1,1,1,0,44.63,25.3,26.2,19.2,17,1,
Ballina,2020-03-21,2019/2020,38,544,133,832,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,9.65,25.8,29.2,15.7,13.7,1,
Ballina,2020-03-28,2019/2020,39,561,147,765,1,0,1,0,0,1,0,1,1,1,0,1,1,1,0,21.36,26.8,30.3,18.5,17.1,1,
Ballina,2020-04-04,2019/2020,40,551,138,808,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,34.58,27.1,29,17.9,16.6,1,
Ballina,2020-04-11,2019/2020,41,535,174,783,0,1,0,1,1,1,0,0,1,1,1,0,1,1,0,36.19,25.1,27.6,16.5,12.6,1,
Ballina,2020-04-18,2019/2020,42,558,173,806,1,1,0,1,1,1,0,1,0,1,0,0,0,0,1,4.08,27,32.4,14.3,11,1,
Ballina,2020-04-25,2019/2020,43,562,157,837,0,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0.01,26.4,27.9,14.4,12.3,1,
Ballina,2020-05-02,2019/2020,44,573,150,801,1,1,0,1,1,0,0,1,1,0,0,0,1,1,0,31.97,25,27.5,14.3,11.7,1,
Ballina,2020-05-09,2019/2020,45,557,174,806,0,0,0,1,1,0,1,0,0,0,1,0,1,0,1,36.61,22.2,25.3,11.7,10.2,1,
Ballina,2020-05-16,2019/2020,46,511,140,747,1,1,0,0,1,1,1,1,1,1,0,1,0,1,0,7.39,21.8,24.9,12.3,11.3,1,
Bankstown,2019-11-30,2019/2020,22,539,182,762,1,0,0,0,1,0,0,0,0,1,1,1,0,0,1,9.03,28.3,34.9,16.3,11.3,1,
Bankstown,2019-12-07,2019/2020,23,549,149,827,0,1,1,0,1,0,1,1,0,0,1,0,1,0,0,0,27.9,34.1,15.3,12.7,1,
Bankstown,2019-12-14,2019/2020,24,519,146,857,1,1,1,1,0,0,1,1,1,1,0,0,1,0,1,0.03,27.1,36.5,17.4,15.4,1,
Bankstown,2019-12-21,2019/2020,25,537,165,813,1,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0.07,29.6,40.7,16.6,13.7,1,
Bankstown,2019-12-28,2019/2020,26,537,148,770,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0,1.8,28.7,37.5,18.2,16.2,1,
Bankstown,2020-01-04,2019/2020,27,534,171,842,0,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,32.3,43.2,18.7,16.9,1,
Bankstown,2020-01-11,2019/2020,28,525,146,783,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,7.05,30.6,46.2,20.2,17.5,1,
Bankstown,2020-01-18,2019/2020,29,546,161,800,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,32.55,25.8,29.6,17.9,16.1,1,
Bankstown,2020-01-25,2019/2020,30,556,170,840,0,0,0,1,0,1,0,0,0,1,1,1,1,1,0,18.6,30.2,41.6,19,17.6,1,
Bankstown,2020-02-01,2019/2020,31,521,162,822,0,1,1,1,0,1,0,1,1,1,1,1,1,0,0,5.68,31.7,37.2,21.8,17.7,1,
Bankstown,2020-02-08,2019/2020,32,538,149,773,1,0,0,0,0,1,0,1,0,0,1,1,1,0,1,80.48,28.7,41.7,20.2,16.1,1,
Bankstown,2020-02-15,2019/2020,33,548,157,835,0,0,0,0,1,1,1,0,1,1,1,0,1,0,1,338.3,26.6,30.9,20.1,18.9,1,
Bankstown,2020-02-22,2019/2020,34,501,144,746,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,17.55,27.3,32.5,18.5,15.6,1,
Bankstown,2020-02-29,2019/2020,35,548,151,760,1,0,0,1,0,1,1,1,0,0,1,0,1,1,0,0.75,27.3,32.6,18.2,14.4,1,
Bankstown,2020-03-07,2019/2020,36,508,152,827,0,0,1,1,1,0,0,0,1,0,0,1,1,0,0,50.82,27.5,37.7,18.7,17.3,1,
Bankstown,2020-03-14,2019/2020,37,541,155,842,1,0,1,0,0,0,0,0,0,1,0,1,1,1,0,11.75,24.2,26.6,15.6,13.1,1,
Bankstown,2020-03-21,2019/2020,38,532,138,773,0,1,1,0,1,1,1,1,1,0,0,1,1,0,1,21.32,25.5,35.2,14.4,12.2,1,
Bankstown,2020-03-28,2019/2020,39,580,128,797,0,0,1,1,1,0,0,1,1,0,1,1,1,0,0,24.62,24.4,29.9,16.1,14.7,1,
Bankstown,2020-04-04,2019/2020,40,495,145,743,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1,23.35,25.2,26.6,16.4,13.9,1,
Bankstown,2020-04-11,2019/2020,41,547,161,765,0,1,0,1,1,1,1,0,1,1,0,0,1,1,1,8.95,22.9,26,14.6,11.4,1,
Bankstown,2020-04-18,2019/2020,42,557,140,801,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,12.03,25.6,29,12.2,8.8,1,
Bankstown,2020-04-25,2019/2020,43,547,168,846,1,0,1,1,0,1,0,1,1,1,1,1,0,0,0,0.03,24.3,27.8,11.4,10.3,1,
Bankstown,2020-05-02,2019/2020,44,540,171,807,1,0,1,1,1,1,0,0,0,0,0,1,1,1,1,20.08,23.1,27.6,13.1,8.5,1,
Bankstown,2020-05-09,2019/2020,45,513,163,798,1,1,1,0,1,1,0,0,1,1,1,0,1,1,1,0.45,21.7,27.2,9.3,7.1,1,
Bankstown,2020-05-16,2019/2020,46,511,157,816,0,1,1,1,0,1,1,1,0,1,0,0,1,1,0,0.35,19.7,26,7.7,5.3,1,
Bellingen,2019-11-30,2019/2020,22,548,155,739,0,0,0,0,1,1,1,0,1,0,0,0,1,0,1,5,27.7,31.6,15.3,12.2,1,
Bellingen,2019-12-07,2019/2020,23,552,171,797,1,1,0,0,1,1,0,0,1,0,0,1,1,0,0,20.02,29,34.3,13.2,8.9,1,
Bellingen,2019-12-14,2019/2020,24,519,177,802,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,25.81,27,32.9,16,12.3,1,
Bellingen,2019-12-21,2019/2020,25,539,169,796,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,8.85,29,32.6,15.8,13.8,1,
Bellingen,2019-12-28,2019/2020,26,524,169,772,1,1,1,0,0,1,0,1,1,1,1,1,0,0,0,61.62,26.8,32.5,17.1,14.3,1,
Bellingen,2020-01-04,2019/2020,27,538,158,803,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0.11,30.1,31.3,16.3,13,1,
Bellingen,2020-01-11,2019/2020,28,565,152,798,1,0,0,1,1,0,1,0,1,1,0,0,1,0,0,3.13,31.1,35.9,18.3,17.2,1,
Bellingen,2020-01-18,2019/2020,29,543,163,762,1,0,1,1,0,1,0,0,1,0,1,1,0,0,1,46.6,26.1,32.6,17.5,14.9,1,
Bellingen,2020-01-25,2019/2020,30,550,190,820,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,183.56,29.4,32.5,19.3,17.7,1,
Bellingen,2020-02-01,2019/2020,31,519,170,812,1,1,0,1,0,1,0,1,0,0,1,1,1,0,1,11.32,29.2,30.6,19.9,18.5,1,
Bellingen,2020-02-08,2019/2020,32,568,151,782,0,0,0,1,1,1,1,1,0,1,0,0,1,0,0,166.14,26.3,33.3,17.6,14.9,1,
Bellingen,2020-02-15,2019/2020,33,569,157,775,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,343.65,24.7,28.8,18.2,17.1,1,
Bellingen,2020-02-22,2019/2020,34,550,169,793,0,1,0,1,1,1,0,0,0,1,1,1,0,0,1,34.95,27.7,31.9,17.8,15.7,1,
Bellingen,2020-02-29,2019/2020,35,507,157,800,1,1,1,0,1,0,1,0,0,1,0,1,0,1,1,92.45,24.3,28,16.4,15.7,1,
Bellingen,2020-03-07,2019/2020,36,565,157,802,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,15.69,26.5,31.6,18,16.6,1,
Bellingen,2020-03-14,2019/2020,37,578,163,803,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,77.6,20.9,22.5,15.1,13,1,
Bellingen,2020-03-21,2019/2020,38,556,167,823,0,1,1,1,1,1,0,0,1,0,1,1,1,1,1,75.08,22.5,28.9,12.4,11,1,
Bellingen,2020-03-28,2019/2020,39,536,172,760,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,63.37,23.1,28.2,15.4,14.5,1,
Bellingen,2020-04-04,2019/2020,40,589,147,812,0,1,0,1,0,0,0,0,1,1,0,1,0,1,1,21.66,24.3,26.3,13.8,12.4,1,
Bellingen,2020-04-11,2019/2020,41,542,159,800,0,1,1,0,1,1,0,0,1,0,1,1,1,0,0,31.74,21.1,25,12.6,7.8,1,
Bellingen,2020-04-18,2019/2020,42,605,169,808,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,7.61,23.9,27.5,10.7,6.6,1,
Bellingen,2020-04-25,2019/2020,43,556,160,768,0,0,0,1,1,0,0,1,1,1,0,0,0,1,0,0.42,22.9,24.2,10.5,8.4,1,
Bellingen,2020-05-02,2019/2020,44,580,168,834,0,1,1,0,1,1,0,1,0,1,1,1,1,0,0,3.57,22.7,26,11.3,6.5,1,
Bellingen,2020-05-09,2019/2020,45,545,167,816,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,3.29,19.7,23.4,7.7,5.1,1,
Bellingen,2020-05-16,2019/2020,46,559,165,748,0,0,1,0,1,1,1,0,1,1,1,1,0,1,0,4.66,18.7,21,8.2,6.4,1,
Blacktown,2019-11-30,2019/2020,22,515,159,750,0,0,0,1,0,0,0,1,0,0,1,0,1,1,1,7.5,30,35.5,15.3,10,1,
Blacktown,2019-12-07,2019/2020,23,574,145,814,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,29.8,35.6,14.6,12,1,
Blacktown,2019-12-14,2019/2020,24,567,159,744,1,0,0,1,0,0,1,1,0,1,1,1,1,0,1,0.01,29.3,40.2,16.5,14.7,1,
Blacktown,2019-12-21,2019/2020,25,585,148,832,1,1,1,1,0,0,1,0,1,0,0,1,1,1,1,0.16,32.1,41.5,15.6,13,1,
Blacktown,2019-12-28,2019/2020,26,567,157,853,1,1,0,0,0,0,1,1,0,1,1,0,1,1,1,0.06,30.7,39.6,17.3,15.7,1,
Blacktown,2020-01-04,2019/2020,27,543,162,781,0,1,1,0,1,1,1,0,1,1,0,0,0,1,1,0,36,44.7,18.3,15.6,1,
Blacktown,2020-01-11,2019/2020,28,518,140,781,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,4.58,32.3,47.5,20.2,17.2,1,
Blacktown,2020-01-18,2019/2020,29,523,176,795,1,0,0,1,0,1,1,1,0,1,0,0,0,0,1,17.86,26.7,31.4,17.7,16,1,
Blacktown,2020-01-25,2019/2020,30,573,157,853,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,19.43,31.7,42.1,18.4,17,1,
Blacktown,2020-02-01,2019/2020,31,526,147,819,0,0,1,0,0,0,0,1,1,0,1,1,1,0,0,3.26,34.2,38.6,21.7,17.8,1,
Blacktown,2020-02-08,2019/2020,32,526,185,814,0,0,0,1,1,1,1,1,0,0,1,1,1,0,0,62.32,30.1,45.2,19.9,15,1,
Blacktown,2020-02-15,2019/2020,33,599,158,791,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,267.94,26.8,31.6,19.8,18.5,1,
Blacktown,2020-02-22,2019/2020,34,568,131,795,1,1,1,0,1,0,1,0,1,1,0,0,0,1,1,31.17,27.9,33.8,18.2,14.7,1,
Blacktown,2020-02-29,2019/2020,35,550,173,819,0,0,1,1,0,0,1,0,0,0,1,1,0,1,0,0.94,27.6,32.5,17.6,13.2,1,
Blacktown,2020-03-07,2019/2020,36,550,155,801,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,50.92,27.8,38,18.1,16.7,1,
Blacktown,2020-03-14,2019/2020,37,498,156,805,1,0,0,1,0,1,1,0,1,0,1,0,0,0,1,11.26,24.6,27,15.2,12,1,
Blacktown,2020-03-21,2019/2020,38,520,137,785,0,0,0,1,0,1,1,0,0,0,0,1,0,1,1,20.28,25.3,34.8,13.9,11.9,1,
Blacktown,2020-03-28,2019/2020,39,554,178,807,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,20.43,24.7,29.9,15.3,14.4,1,
Blacktown,2020-04-04,2019/2020,40,598,148,772,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0,16.67,25.2,27.7,15.9,13.2,1,
Blacktown,2020-04-11,2019/2020,41,571,184,866,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1,11.37,22.6,25.6,14.3,10.9,1,
Blacktown,2020-04-18,2019/2020,42,521,175,785,1,1,0,1,1,1,1,0,0,1,0,1,0,0,1,5.2,25.8,29.8,10.9,7.3,1,
Blacktown,2020-04-25,2019/2020,43,521,149,798,0,1,1,1,1,1,0,0,0,1,1,1,0,0,1,0.22,24.6,28.1,10,8.5,1,
Blacktown,2020-05-02,2019/2020,44,577,166,737,1,0,1,1,1,0,1,0,1,1,0,1,1,0,1,19.53,22.9,27.6,12.2,8.5,1,
Blacktown,2020-05-09,2019/2020,45,539,158,772,1,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0.01,21.7,27.1,8.1,4.3,1,
Blacktown,2020-05-16,2019/2020,46,534,161,753,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,19.7,26,6.2,3.4,1,
Bourke,2019-11-30,2019/2020,22,519,180,805,0,1,1,0,0,1,0,1,1,1,0,0,0,0,0,1.81,35,37.5,19.4,12.1,1,
Bourke,2019-12-07,2019/2020,23,607,149,819,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,0.1,32.4,37.2,16.2,12,1,
Bourke,2019-12-14,2019/2020,24,561,139,774,0,0,1,0,0,1,0,1,1,1,0,1,1,0,1,0,38.7,44.1,20.6,17.1,1,
Bourke,2019-12-21,2019/2020,25,525,164,765,1,1,0,0,0,1,1,0,1,1,1,1,0,1,0,0,40.5,44.3,23,18.3,1,
Bourke,2019-12-28,2019/2020,26,549,149,801,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,41.8,45.7,26.6,24.9,1,
Bourke,2020-01-04,2019/2020,27,580,167,743,0,0,1,1,0,1,1,1,0,0,0,0,0,1,1,0.02,42.7,45.8,25.5,22.9,1,
Bourke,2020-01-11,2019/2020,28,545,152,788,0,1,0,1,1,0,1,0,0,1,0,1,1,1,1,0.56,44.3,46.6,28.4,26,1,
Bourke,2020-01-18,2019/2020,29,533,143,844,1,0,1,1,0,1,1,1,0,1,1,1,1,1,0,14.2,36.3,40.9,23.2,19.6,1,
Bourke,2020-01-25,2019/2020,30,566,150,755,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,2.43,37,41.3,21.9,18,1,
Bourke,2020-02-01,2019/2020,31,558,158,850,1,0,0,1,0,0,0,1,1,0,1,1,0,0,1,3.17,41.1,43.7,27.2,23,1,
Bourke,2020-02-08,2019/2020,32,556,161,826,0,0,1,0,1,1,1,1,1,1,1,0,1,0,1,5,34.8,43.3,24.6,20.4,1,
Bourke,2020-02-15,2019/2020,33,548,152,771,0,0,0,0,1,1,0,1,0,1,1,1,1,1,1,8.94,33.3,36.5,21.1,18.3,1,
Bourke,2020-02-22,2019/2020,34,548,152,812,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0.78,37.3,42,22.7,16.8,1,
Bourke,2020-02-29,2019/2020,35,553,161,767,0,1,1,0,1,0,1,1,0,0,0,0,0,1,1,11.6,31.1,36.7,20.4,17.7,1,
Bourke,2020-03-07,2019/2020,36,569,142,748,1,0,1,1,0,0,0,1,1,1,0,0,0,0,1,83.69,30.7,38,18.9,15,1,
Bourke,2020-03-14,2019/2020,37,545,148,799,1,0,1,0,0,1,1,1,1,0,1,1,1,0,0,3.14,29.3,31.3,18.9,17.9,1,
Bourke,2020-03-21,2019/2020,38,548,169,840,0,1,1,0,0,0,1,0,0,0,1,1,1,0,1,0.09,30.7,35,17.2,15.8,1,
Bourke,2020-03-28,2019/2020,39,540,150,840,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,3.88,30,32.9,17.2,14.3,1,
Bourke,2020-04-04,2019/2020,40,547,171,792,0,1,0,1,1,1,0,1,0,1,0,0,1,1,0,19.37,29.7,33.7,19.7,17.7,1,
Bourke,2020-04-11,2019/2020,41,565,177,773,1,1,0,1,1,0,0,0,1,0,1,0,0,0,1,15.37,24.7,26.3,14.1,11.1,1,
Bourke,2020-04-18,2019/2020,42,562,131,781,0,0,0,0,0,1,1,0,1,1,0,1,0,1,0,0.36,28,34,13.5,9.9,1,
Bourke,2020-04-25,2019/2020,43,502,166,775,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,26.2,28.4,11.6,9.1,1,
Bourke,2020-05-02,2019/2020,44,580,157,779,0,1,0,1,1,1,1,0,1,0,1,0,1,1,0,11.1,25.4,31,13.4,6.8,1,
Bourke,2020-05-09,2019/2020,45,520,164,831,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0.05,22.9,29,9,5.4,1,
Bourke,2020-05-16,2019/2020,46,529,162,782,0,1,1,1,1,0,1,0,1,1,1,0,0,1,0,0.36,21,25.9,8.1,5.3,1,
Byron Bay,2019-11-30,2019/2020,22,582,154,769,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0.05,28.5,31.4,18.9,16.8,1,
Byron Bay,2019-12-07,2019/2020,23,536,172,773,1,0,0,0,0,1,1,1,1,0,1,1,1,0,1,33.14,31.1,35.2,16.8,13,1,
Byron Bay,2019-12-14,2019/2020,24,521,172,737,1,1,1,0,0,0,1,1,1,1,1,0,1,0,1,5.82,29.2,32.2,19.9,17.1,1,
Byron Bay,2019-12-21,2019/2020,25,584,147,777,0,0,1,0,0,1,1,1,1,0,0,0,1,1,0,11.84,29.6,36,18.3,13.3,1,
Byron Bay,2019-12-28,2019/2020,26,559,158,751,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,55.95,28.8,31.1,20.1,18.6,1,
Byron Bay,2020-01-04,2019/2020,27,539,145,806,0,1,0,0,0,0,0,1,1,0,0,1,1,1,0,0.27,29.8,31.4,18.2,16.2,1,
Byron Bay,2020-01-11,2019/2020,28,588,157,806,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,0,31.1,32.5,19.4,18,1,
Byron Bay,2020-01-18,2019/2020,29,559,149,783,1,1,0,0,0,1,0,1,0,1,1,1,0,1,1,30.83,27.5,30.4,20.4,19,1,
Byron Bay,2020-01-25,2019/2020,30,577,173,873,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,178.14,30.1,32.2,21.7,19.7,1,
Byron Bay,2020-02-01,2019/2020,31,519,159,771,1,1,0,0,0,0,0,0,0,1,0,1,0,1,1,13.87,30,31.2,21.5,20.3,1,
Byron Bay,2020-02-08,2019/2020,32,576,156,838,0,1,0,1,1,1,1,1,1,0,0,1,1,0,1,207.54,27.3,32.9,20.2,18.4,1,
Byron Bay,2020-02-15,2019/2020,33,525,161,806,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,356.52,26.5,28.5,21.1,20.7,1,
Byron Bay,2020-02-22,2019/2020,34,554,139,837,1,0,0,0,1,0,0,1,0,1,1,1,0,0,0,28.22,30.4,33.5,22.1,20.7,1,
Byron Bay,2020-02-29,2019/2020,35,545,178,767,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,76.27,27,30.1,20,19.4,1,
Byron Bay,2020-03-07,2019/2020,36,526,182,810,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,32.68,29.2,31.6,21.2,19.2,1,
Byron Bay,2020-03-14,2019/2020,37,515,166,761,1,0,1,0,1,1,1,1,0,1,0,1,1,0,0,56.7,24.8,26.1,19,16.8,1,
Byron Bay,2020-03-21,2019/2020,38,560,138,805,0,1,0,1,1,0,0,0,0,1,1,1,1,1,1,12.33,25.3,28.1,16,13.8,1,
Byron Bay,2020-03-28,2019/2020,39,543,152,794,0,0,1,0,0,1,1,0,1,1,0,0,1,0,1,27.14,26.4,30.3,18.5,17.8,1,
Byron Bay,2020-04-04,2019/2020,40,525,155,831,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,26.76,26.8,28.2,18.1,16.8,1,
Byron Bay,2020-04-11,2019/2020,41,569,166,822,1,0,0,1,1,1,0,1,0,1,0,1,0,1,0,34.44,24.8,27.4,16.6,12.6,1,
Byron Bay,2020-04-18,2019/2020,42,544,135,753,1,0,1,0,1,1,1,0,0,0,0,1,0,1,0,1.8,26.7,31.7,14.2,10.8,1,
Byron Bay,2020-04-25,2019/2020,43,551,125,772,1,0,0,1,1,1,1,1,0,0,0,1,1,0,1,0.05,26.2,27.6,13.8,11.4,1,
